sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
If convicted of violating the Truth in Domain Names Act, Zuccarini could face up to four years in prison and a $250,000 fine.	If convicted under the new law, Zuccarini faces a maximum of four years in prison and a $250,000 fine.	[1, 2, 6, 0, 0, 0, 0]	[6, 6, 2, 2, 0, 2, 2, 2, 2, 2, 6, 6, 1, 1, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 2, 0, 2, 2, 6, 6, 1, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['If', 'convicted', 'of', 'violating', 'the', 'Truth', 'in', 'Domain', 'Names', 'Act', ',', 'Zuccarini', 'could', 'face', 'up', 'to', 'four', 'years', 'in', 'prison', 'and', 'a', '$', '250,000', 'fine', '.']	['If', 'convicted', 'under', 'the', 'new', 'law', ',', 'Zuccarini', 'faces', 'a', 'maximum', 'of', 'four', 'years', 'in', 'prison', 'and', 'a', '$', '250,000', 'fine', '.\n']	c34391c95452435fbacc9846e2179a67
A month ago, the Commerce Department said GDP grew at a 7.2 percent rate.	A month ago, the Commerce Department estimated that GDP had a grown at a 7.2 percent rate in the third quarter.	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 2, 7, 3, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 3, 3, 3, 0, 0, 0, 0, 0, 7, 7, 7, 7, 0]	['A', 'month', 'ago', ',', 'the', 'Commerce', 'Department', 'said', 'GDP', 'grew', 'at', 'a', '7.2', 'percent', 'rate', '.']	['A', 'month', 'ago', ',', 'the', 'Commerce', 'Department', 'estimated', 'that', 'GDP', 'had', 'a', 'grown', 'at', 'a', '7.2', 'percent', 'rate', 'in', 'the', 'third', 'quarter', '.\n']	a6beb2958968407c904225bce722c73e
UAL attorney James Sprayregen told a court hearing yesterday that it would submit a fresh business plan, but gave no indication of when.	UAL bankruptcy attorney James Sprayregen said at a court hearing the company will submit an updated business plan to the Air Transportation Stabilization Board, but gave no timeframe.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 2, 7, 7, 7, 7, 0, 2, 1, 1, 0, 2, 7, 7, 7, 7, 7, 7, 2, 2, 2, 7]	[0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 1, 1, 0, 2, 0, 0, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 2, 0]	['UAL', 'attorney', 'James', 'Sprayregen', 'told', 'a', 'court', 'hearing', 'yesterday', 'that', 'it', 'would', 'submit', 'a', 'fresh', 'business', 'plan', ',', 'but', 'gave', 'no', 'indication', 'of', 'when', '.']	['UAL', 'bankruptcy', 'attorney', 'James', 'Sprayregen', 'said', 'at', 'a', 'court', 'hearing', 'the', 'company', 'will', 'submit', 'an', 'updated', 'business', 'plan', 'to', 'the', 'Air', 'Transportation', 'Stabilization', 'Board', ',', 'but', 'gave', 'no', 'timeframe', '.\n']	273c13c1c0474a3aa8d8a7a5e4e7037f
"By skirting the FDA's oversight, Eagan said, the quality of the imported drugs is ""less predictable"" than for those obtained in the United States."	"By skirting the FDA's oversight, Eagan said the quality of the imported drugs is ""less predictable"" than U.S. drugs."	[2, 3, 5, 6, 7, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 3, 3, 3, 3, 3, 3, 6]	[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 3, 3, 7]	"['By', 'skirting', 'the', 'FDA', ""'s"", 'oversight', ',', 'Eagan', 'said', ',', 'the', 'quality', 'of', 'the', 'imported', 'drugs', 'is', '``', 'less', 'predictable', ""''"", 'than', 'for', 'those', 'obtained', 'in', 'the', 'United', 'States', '.']"	"['By', 'skirting', 'the', 'FDA', ""'s"", 'oversight', ',', 'Eagan', 'said', 'the', 'quality', 'of', 'the', 'imported', 'drugs', 'is', '``', 'less', 'predictable', ""''"", 'than', 'U.S.', 'drugs', '.\n']"	cde81ac07d3a403e860f4542a21f2db4
The Guru microcontroller serves four functions: hardware monitoring, overclocking management, BIOS (Basic Input Output System) update and a troubleshooting-assistance feature called Black Box.	The µGuru microcontroller serves four functions: hardware monitoring, overclocking management, BIOS update and a troubleshooting-assistance feature called Black Box.	[2, 6, 7, 0, 0, 0, 0]	[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[7, 2, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['The', 'Guru', 'microcontroller', 'serves', 'four', 'functions', ':', 'hardware', 'monitoring', ',', 'overclocking', 'management', ',', 'BIOS', '(', 'Basic', 'Input', 'Output', 'System', ')', 'update', 'and', 'a', 'troubleshooting-assistance', 'feature', 'called', 'Black', 'Box', '.']	['The', 'µGuru', 'microcontroller', 'serves', 'four', 'functions', ':', 'hardware', 'monitoring', ',', 'overclocking', 'management', ',', 'BIOS', 'update', 'and', 'a', 'troubleshooting-assistance', 'feature', 'called', 'Black', 'Box', '.\n']	15e8a2c9b1aa41039918a6ceac1cfe7a
Though she defeated Williams on May 17 in the semifinals at Rome, Mauresmo isn't favored today.	Even though she defeated Williams on May 17 in the semifinals at Rome, Mauresmo cannot be favored in this match.	[1, 2, 6, 0, 0, 0, 0]	[2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 1, 1, 2, 6]	[2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 1, 1, 1, 2, 2, 2, 6]	"['Though', 'she', 'defeated', 'Williams', 'on', 'May', '17', 'in', 'the', 'semifinals', 'at', 'Rome', ',', 'Mauresmo', 'is', ""n't"", 'favored', 'today', '.']"	['Even', 'though', 'she', 'defeated', 'Williams', 'on', 'May', '17', 'in', 'the', 'semifinals', 'at', 'Rome', ',', 'Mauresmo', 'can', 'not', 'be', 'favored', 'in', 'this', 'match', '.\n']	ca67f602bad14f6f97598c2f61d9caaf
Brian Brabazon said his son would get upset but then turn around and befriend his taunters.	Her son would get upset, his mom said, but then turn around and befriend his taunters.	[6, 7, 0, 0, 0, 0, 0]	[6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 7, 6, 6, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['Brian', 'Brabazon', 'said', 'his', 'son', 'would', 'get', 'upset', 'but', 'then', 'turn', 'around', 'and', 'befriend', 'his', 'taunters', '.']	['Her', 'son', 'would', 'get', 'upset', ',', 'his', 'mom', 'said', ',', 'but', 'then', 'turn', 'around', 'and', 'befriend', 'his', 'taunters', '.\n']	1b0b04a02e3247d88b3b8cd673814756
Ridge said no actual explosives or other harmful substances will be used.	Ridge said no real explosives or harmful devices will be used in the exercise.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 2, 7, 7, 7, 7, 2, 7, 7, 7, 7]	[7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7]	['Ridge', 'said', 'no', 'actual', 'explosives', 'or', 'other', 'harmful', 'substances', 'will', 'be', 'used', '.']	['Ridge', 'said', 'no', 'real', 'explosives', 'or', 'harmful', 'devices', 'will', 'be', 'used', 'in', 'the', 'exercise', '.\n']	ed718f0070564e7688901cf6abadf977
"""If the voluntary reliability standards were complied with, we wouldn't have had a problem."""	"""If the voluntary reliability standards had been complied with, we wouldn't have had a problem,"" Mr. Dhaliwal said."	[1, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7]	[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 0]	"['``', 'If', 'the', 'voluntary', 'reliability', 'standards', 'were', 'complied', 'with', ',', 'we', 'would', ""n't"", 'have', 'had', 'a', 'problem', '.', ""''""]"	"['``', 'If', 'the', 'voluntary', 'reliability', 'standards', 'had', 'been', 'complied', 'with', ',', 'we', 'would', ""n't"", 'have', 'had', 'a', 'problem', ',', ""''"", 'Mr.', 'Dhaliwal', 'said', '.\n']"	584c6bb75198488193b2a2d3d72b2472
WHO noted that most resistant bacteria growth among humans was due to overuse of antibiotics by doctors -- not due to farmers.	The WHO said in a report on Wednesday that most resistant bacteria growth among humans was not due to farmers, but to overuse of antibiotics by doctors.	[2, 3, 4, 5, 6, 7, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[3, 3, 2, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 4, 7, 7, 7, 7, 0, 4, 4, 0, 0, 0, 0, 0, 0]	['WHO', 'noted', 'that', 'most', 'resistant', 'bacteria', 'growth', 'among', 'humans', 'was', 'due', 'to', 'overuse', 'of', 'antibiotics', 'by', 'doctors', '--', 'not', 'due', 'to', 'farmers', '.']	['The', 'WHO', 'said', 'in', 'a', 'report', 'on', 'Wednesday', 'that', 'most', 'resistant', 'bacteria', 'growth', 'among', 'humans', 'was', 'not', 'due', 'to', 'farmers', ',', 'but', 'to', 'overuse', 'of', 'antibiotics', 'by', 'doctors', '.\n']	4bd53f9efa884d089bcc0f137dc4f25d
